message_id,message_text,label,scam_type,risk_score,risk_level,language,signals,contains_payment_request,contains_urgency,contains_impersonation,contains_credential_request,contains_url,contains_upi,contains_phone,recommended_action
F0019,"Dear customer, your bank KYC is expired. Update immediately at parcel-clearance-help.com or your account will be blocked today.",fraud,Fake KYC Scam,83,high,English,kyc|credential_request|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0066,Urgent loan offer. Verification fee refundable. Transfer to clearancepay@upi.,fraud,Loan Scam,62,medium,English,loan_offer|processing_fee|document_request|payment_request|too_good_to_be_true,1,0,0,1,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0151,Recruitment update: please confirm your availability for the interview.,suspicious,Unknown Suspicious Message,27,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
F0089,Your account has been flagged for money laundering. Pay clearance penalty ₹7500.,fraud,Bank Account Freeze Scam,89,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
N0205,Can you share the project update by evening?,safe,Safe / Normal Message,6,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0137,Water bill penalty generated. Immediate payment required before today.,fraud,Electricity / Utility Scam,81,high,English,utility_impersonation|service_disconnection|payment_request|phishing_link|urgency,1,1,1,0,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0188,Your account requires verification. Please check the official app for details.,suspicious,Unknown Suspicious Message,52,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
S0183,Recruitment update: please confirm your availability for the interview.,suspicious,Unknown Suspicious Message,39,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0234,Can you share the project update by evening?,safe,Safe / Normal Message,4,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
N0239,Your parcel is out for delivery. Track it from the official app.,safe,Safe / Normal Message,11,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0087,Your account has been flagged for money laundering. Pay clearance penalty ₹10000.,fraud,Bank Account Freeze Scam,87,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,0,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0154,Your account requires verification. Please check the official app for details.,suspicious,Unknown Suspicious Message,46,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0235,Your order has been delivered successfully. Thank you for shopping with us.,safe,Safe / Normal Message,5,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0009,Mumbai Police officer speaking. Your phone number is involved in money laundering. Pay security deposit to cybercase@upi before 1 hour.,fraud,Digital Arrest Scam,90,high,English,law_enforcement_impersonation|digital_arrest|threat|payment_request|urgency,1,1,1,0,0,1,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
F0014,"Dear customer, your bank KYC is expired. Update immediately at kyc-update-now.in or your account will be blocked today.",fraud,Fake KYC Scam,92,high,English,kyc|credential_request|phishing_link|account_freeze|urgency,0,1,0,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
S0156,Your parcel has a delivery issue. Please contact customer support through the official website.,suspicious,Unknown Suspicious Message,39,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0201,Your order has been delivered successfully. Thank you for shopping with us.,safe,Safe / Normal Message,15,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
S0182,Your parcel has a delivery issue. Please contact customer support through the official website.,suspicious,Unknown Suspicious Message,29,medium,English,unknown_sender|needs_verification|low_context,0,0,0,0,0,0,0,"Verify sender identity through official website/domain before sharing money, OTP, documents, or bank details."
N0224,Reminder: Your appointment is confirmed for 11 PM.,safe,Safe / Normal Message,7,low,English,normal_message,0,0,0,0,0,0,0,No scam indicators detected. Still verify sender if message asks for sensitive action.
F0088,Last warning: account closure request active. Login at claim-reward-now.com to cancel.,fraud,Bank Account Freeze Scam,90,high,English,bank_impersonation|account_freeze|credential_request|phishing_link|urgency,0,1,1,1,1,0,0,"Do not pay, do not share OTP/PIN/documents, verify using official channels, and report suspected cyber fraud."
